"taxon","ELEMENT_GLOBAL_ID","indicator"
"Conocephalum conicum",905014,0
"Riccardia multifida",686958,0
"Sphagnum pulchrum",688211,0
"Sphagnum pulchrum",689070,0
"Sphagnum pulchrum",683516,0
"Sphagnum pulchrum",685752,0
"Sphagnum pulchrum",736386,0
"Sphagnum pulchrum",736389,0
"Sematophyllum demissum",835678,0
"Grimmia laevigata",684984,0
"Grimmia laevigata",685143,0
"Grimmia laevigata",689832,0
"Grimmia laevigata",689765,0
"Grimmia laevigata",802098,0
"Grimmia laevigata",835678,0
"Grimmia laevigata",877425,0
"Grimmia laevigata",900012,0
"Sphagnum quinquefarium",686958,0
"Sphagnum quinquefarium",899966,0
"Sphagnum subtile",684727,0
"Sphagnum subtile",1176993,0
"Metzgeria temperata",687447,0
"Sphagnum lindbergii",689913,0
"Diplophyllum albicans",777931,0
"Racomitrium sudeticum",900073,0
"Racomitrium ericoides",899665,0
"Racomitrium ericoides",899839,0
"Thuidium delicatulum",683191,0
"Thuidium delicatulum",683622,0
"Thuidium delicatulum",686507,0
"Thuidium delicatulum",686512,0
"Thuidium delicatulum",686709,0
"Thuidium delicatulum",685735,0
"Thuidium delicatulum",685788,0
"Thuidium delicatulum",689733,0
"Thuidium delicatulum",687225,0
"Thuidium delicatulum",687924,0
"Thuidium delicatulum",686934,0
"Thuidium delicatulum",689899,0
"Thuidium delicatulum",689577,0
"Thuidium delicatulum",690048,0
"Thuidium delicatulum",683188,0
"Thuidium delicatulum",684217,0
"Thuidium delicatulum",688844,0
"Thuidium delicatulum",688921,0
"Thuidium delicatulum",688183,0
"Thuidium delicatulum",684553,0
"Thuidium delicatulum",685318,0
"Thuidium delicatulum",688719,0
"Thuidium delicatulum",684916,0
"Thuidium delicatulum",806705,0
"Thuidium delicatulum",835732,0
"Thuidium delicatulum",800161,0
"Thuidium delicatulum",867537,0
"Thuidium delicatulum",899397,0
"Thuidium delicatulum",1159151,0
"Thuidium delicatulum",1159195,0
"Thuidium delicatulum",1225019,0
"Metzgeria consanguinea",687447,0
"Paludella squarrosa",683904,0
"Mnium punctatum",685735,0
"Mnium punctatum",683188,0
"Warnstorfia fluitans",685066,0
"Ricciocarpos natans",683538,0
"Ricciocarpos natans",877402,0
"Ricciocarpos natans",899738,0
"Orthotrichum strangulatum",946476,0
"Hookeria acutifolia",686958,0
"Calliergon cordifolium",683960,0
"Calliergon cordifolium",683188,0
"Calliergon cordifolium",684916,0
"Calliergon cordifolium",1176983,0
"Calliergon cordifolium",1131907,0
"Sphagnum nemoreum",683077,0
"Sphagnum nemoreum",683296,0
"Sphagnum nemoreum",686048,0
"Sphagnum nemoreum",686898,0
"Sphagnum nemoreum",907535,0
"Bazzania nudicaulis",683834,0
"Bazzania nudicaulis",687447,0
"Rhizomnium glabrescens",684376,0
"Rhizomnium glabrescens",788005,0
"Rhizomnium glabrescens",791945,0
"Rhizomnium glabrescens",787973,0
"Rhizomnium glabrescens",899662,0
"Rhodobryum roseum",685146,0
"Scapania paludosa",894266,0
"Scapania paludosa",894262,0
"Sphagnum flexuosum",683072,0
"Sphagnum flexuosum",688846,0
"Sphagnum flexuosum",684727,0
"Sphagnum flexuosum",768704,0
"Sphagnum flexuosum",800167,0
"Sphagnum flexuosum",800143,0
"Sphagnum warnstorfii",684789,0
"Sphagnum warnstorfii",687547,0
"Sphagnum warnstorfii",689508,0
"Sphagnum warnstorfii",683188,0
"Sphagnum warnstorfii",1146920,0
"Sphagnum warnstorfii",684727,0
"Sphagnum warnstorfii",685274,0
"Sphagnum warnstorfii",683904,0
"Sphagnum warnstorfii",836882,0
"Sphagnum warnstorfii",860526,0
"Sphagnum warnstorfii",893248,0
"Sphagnum warnstorfii",899505,0
"Sphagnum warnstorfii",959740,0
"Sphagnum warnstorfii",1176983,0
"Sphagnum warnstorfii",1361912,0
"Sphagnum warnstorfii",1299044,0
"Myurella sibirica",687412,0
"Calliergon giganteum",683188,0
"Calliergon giganteum",685318,0
"Calliergon giganteum",683904,0
"Sphagnum macrophyllum",683247,0
"Sphagnum macrophyllum",686012,0
"Sphagnum macrophyllum",689553,0
"Calliergonella cuspidata",683879,0
"Calliergonella cuspidata",687808,0
"Calliergonella cuspidata",683960,0
"Pleurochaete luteola",686507,0
"Pleurochaete luteola",688370,0
"Pleurochaete luteola",687829,0
"Pleurochaete luteola",688844,0
"Polytrichum ohioense",683349,0
"Polytrichum ohioense",683072,0
"Polytrichum ohioense",687447,0
"Polytrichum ohioense",690048,0
"Polytrichum ohioense",877425,0
"Polytrichum ohioense",898964,0
"Polytrichum ohioense",898965,0
"Rhabdoweisia crispata",685347,0
"Aulacomnium heterostichum",683622,0
"Aulacomnium heterostichum",688921,0
"Schistidium apocarpum",685143,0
"Schistidium apocarpum",900073,0
"Sphagnum magellanicum",684165,0
"Sphagnum magellanicum",685030,0
"Sphagnum magellanicum",685148,0
"Sphagnum magellanicum",683072,0
"Sphagnum magellanicum",683077,0
"Sphagnum magellanicum",684415,0
"Sphagnum magellanicum",683137,0
"Sphagnum magellanicum",684554,0
"Sphagnum magellanicum",684085,0
"Sphagnum magellanicum",686925,0
"Sphagnum magellanicum",685525,0
"Sphagnum magellanicum",686037,0
"Sphagnum magellanicum",685409,0
"Sphagnum magellanicum",686220,0
"Sphagnum magellanicum",688617,0
"Sphagnum magellanicum",688461,0
"Sphagnum magellanicum",689442,0
"Sphagnum magellanicum",686852,0
"Sphagnum magellanicum",688278,0
"Sphagnum magellanicum",688846,0
"Sphagnum magellanicum",688058,0
"Sphagnum magellanicum",688437,0
"Sphagnum magellanicum",688511,0
"Sphagnum magellanicum",684125,0
"Sphagnum magellanicum",689867,0
"Sphagnum magellanicum",690011,0
