"taxon","ELEMENT_GLOBAL_ID","indicator"
"Juniperus",689777,1
"Juniperus",689042,1
"Juniperus",684944,1
"Juniperus",687226,1
"Juniperus",685264,1
"Juniperus",683271,1
"Juniperus",687166,1
"Juniperus",684591,1
"Juniperus",1271030,1
"Juniperus",1271028,1
"Juniperus",686677,1
"Juniperus",687078,1
"Juniperus",683471,1
"Juniperus",688361,1
"Juniperus",685875,1
"Juniperus",688466,1
"Juniperus",684900,1
"Juniperus",688852,1
"Juniperus",827851,1
"Juniperus",827848,1
"Juniperus",684361,1
"Juniperus",686397,1
"Juniperus",689078,1
"Juniperus",687849,1
"Juniperus",686396,1
"Juniperus",820824,1
"Juniperus",687289,1
"Juniperus",688362,1
"Juniperus",688168,1
"Juniperus",685983,1
"Juniperus",683968,1
"Juniperus",684459,1
"Juniperus",684173,1
"Juniperus",686999,1
"Juniperus",685914,1
"Juniperus",685010,1
"Juniperus",689010,1
"Juniperus",686545,1
"Juniperus",787691,1
"Juniperus",686629,1
"Juniperus",688334,1
"Juniperus",684706,1
"Juniperus",1159205,1
"Juniperus",689256,1
"Juniperus",686525,1
"Juniperus",683418,1
"Juniperus",687829,1
"Juniperus",828605,1
"Juniperus",907201,1
"Juniperus",688138,1
"Juniperus",688183,1
"Juniperus",688844,1
"Juniperus",683778,1
"Juniperus",814098,1
"Juniperus",684540,1
"Juniperus",903081,1
"Juniperus",795062,1
"Juniperus",683735,1
"Juniperus",687566,1
"Juniperus",683214,1
"Juniperus",685878,1
"Juniperus",687784,1
"Juniperus",685089,1
"Juniperus",685403,1
"Juniperus",687422,1
"Juniperus",690031,1
"Juniperus",686674,1
"Juniperus",686304,1
"Juniperus",801776,1
"Juniperus",801773,1
"Juniperus",802194,1
"Juniperus",689880,1
"Juniperus",1284831,1
"Juniperus",689432,1
"Juniperus",801770,1
"Juniperus",685079,1
"Juniperus",686941,1
"Juniperus",1309285,1
"Juniperus",801747,1
"Juniperus",1361915,1
"Juniperus",758356,1
"Juniperus",757450,1
"Juniperus",758221,1
"Juniperus",769193,1
"Juniperus",769194,1
"Juniperus",685736,1
"Juniperus",959241,1
"Juniperus",690047,1
"Juniperus",769221,1
"Juniperus",769203,1
"Juniperus",769206,1
"Juniperus",794977,1
"Juniperus",758193,1
"Juniperus",769218,1
"Juniperus",758260,1
"Juniperus",687812,1
"Juniperus",769227,1
"Juniperus",794980,1
"Juniperus",758360,1
"Juniperus",757454,1
"Juniperus",859980,1
"Juniperus",959267,1
"Juniperus",758208,1
"Juniperus",685061,1
"Juniperus",685188,1
"Juniperus",959258,1
"Juniperus",685062,1
"Juniperus",687220,1
"Juniperus",959276,1
"Juniperus",794983,1
"Juniperus",686619,1
"Juniperus",959307,1
"Juniperus",769179,1
"Juniperus",769197,1
"Juniperus",959310,1
"Juniperus",769209,1
"Juniperus",769215,1
"Juniperus",769224,1
"Juniperus",769200,1
"Juniperus",785431,1
"Juniperus",758472,1
"Juniperus",689068,1
"Juniperus",688499,1
"Juniperus",841821,1
"Juniperus",688255,1
"Juniperus",687673,1
"Juniperus",841492,1
"Juniperus",841495,1
"Juniperus",857866,1
"Juniperus",685228,1
"Juniperus",688982,1
"Juniperus",684442,1
"Juniperus",685448,1
"Juniperus",686177,1
"Juniperus",857863,1
"Juniperus",688645,1
"Juniperus",687048,1
"Juniperus",683663,1
"Juniperus",687771,1
"Juniperus",857869,1
"Juniperus",688256,1
"Juniperus",857872,1
"Juniperus",857875,1
"Juniperus",689656,1
"Juniperus",841827,1
"Juniperus",685808,1
"Juniperus",683300,1
"Juniperus",684441,1
"Juniperus",683360,1
"Juniperus",687344,1
"Juniperus",688659,1
"Juniperus",687446,1
"Juniperus",689204,1
"Juniperus",688191,1
"Juniperus",689402,1
"Juniperus",689403,1
"Juniperus",683238,1
"Juniperus",688439,1
"Juniperus",685984,1
"Juniperus",687766,1
"Juniperus",685464,1
"Juniperus",683862,1
"Juniperus",686444,1
"Juniperus",685383,1
"Juniperus",683248,1
"Juniperus",684927,1
"Juniperus",687850,1
"Juniperus",689077,1
"Juniperus",688467,1
"Juniperus",684488,1
"Juniperus",820828,1
"Juniperus",687360,1
"Juniperus",791964,1
"Juniperus",769162,1
"Juniperus",686405,1
"Juniperus",683155,1
"Juniperus",688904,1
"Juniperus",686259,1
"Juniperus",688820,1
"Juniperus",794090,1
"Juniperus",758133,1
"Juniperus",964298,1
"Juniperus",964291,1
"Juniperus",685412,1
"Juniperus",683945,1
"Juniperus",769165,1
"Juniperus",785427,1
"Juniperus",785372,1
"Juniperus",687527,1
"Juniperus",684811,1
"Juniperus",769170,1
"Juniperus",686022,1
"Juniperus",948172,1
"Juniperus",788085,1
"Juniperus",687917,1
"Juniperus",687865,1
"Juniperus",947974,1
"Juniperus",947977,1
"Juniperus",972821,1
"Juniperus",683870,1
"Juniperus",686382,1
"Juniperus",688977,1
"Juniperus",686383,1
"Juniperus",948167,1
"Juniperus",947926,1
"Juniperus",948169,1
"Juniperus",685440,1
"Juniperus",971692,1
"Juniperus",948175,1
"Juniperus",689211,1
"Juniperus",685876,1
"Juniperus",684901,1
"Juniperus",688853,1
"Juniperus",688854,1
"Juniperus",686763,1
"Juniperus",687223,1
"Juniperus",689694,1
"Juniperus",683387,1
"Juniperus",689400,1
"Juniperus",685618,1
"Juniperus",683969,1
"Juniperus",689875,1
"Juniperus",820821,1
"Juniperus",820818,1
"Juniperus",684368,1
"Juniperus",684195,1
"Juniperus",959249,1
"Juniperus",959283,1
"Juniperus",684309,1
"Juniperus",785187,1
"Juniperus",684558,1
"Juniperus",838354,1
"Juniperus",685856,1
"Juniperus",684327,1
"Juniperus",688643,1
"Juniperus",1283094,1
"Juniperus",684510,1
"Juniperus",688877,1
"Juniperus",689038,1
"Juniperus",689035,1
"Juniperus",684207,1
"Juniperus",687620,1
"Juniperus",684939,1
"Juniperus",1283096,1
"Juniperus",685332,1
"Juniperus",685334,1
"Juniperus",688358,1
"Juniperus",685315,1
"Juniperus",688653,1
"Juniperus",684645,1
"Juniperus",948179,1
"Juniperus",688363,1
"Juniperus",684938,1
"Juniperus",947980,1
"Juniperus",688752,1
"Juniperus",687326,1
"Juniperus",685015,1
"Juniperus",686879,1
"Juniperus",688832,1
"Juniperus",688458,1
"Juniperus",683588,1
"Juniperus",979420,1
"Juniperus",686096,1
"Juniperus",731879,1
"Juniperus",688543,1
"Juniperus",686740,1
"Juniperus",686896,1
"Juniperus",686639,1
"Juniperus",687251,1
"Juniperus",688537,1
"Juniperus",687449,1
"Juniperus",735986,1
"Juniperus",687234,1
"Juniperus",689462,1
"Juniperus",972041,1
"Juniperus",689455,1
"Juniperus",683575,1
"Juniperus",685124,1
