"acgenus","actaxon","acauth","taxon","auth"
"Clasmatocolea","Clasmatocolea vermicularis","(Lehm.) Grolle","Clasmatocolea vermicularis","(Lehm.) Grolle"
"Lepidolejeunea","Lepidolejeunea involuta","(Gottsche) Grolle","Lepidolejeunea involuta","(Gottsche) Grolle"
"Leucobryum","Leucobryum galinonii","Cardot & Paris","Leucobryum galinonii","Cardot & Paris"
"Wiesnerella","Wiesnerella denudata","(Mitt.) Steph.","Wiesnerella denudata","(Mitt.) Steph."
"Drepanocladus","Drepanocladus turgescens","(T.Jensen) Broth.","Pseudocalliergon turgescens","(T.Jensen) Loeske"
"Echinodium","Echinodium renauldii","(Cardot) Broth.","Echinodium renauldii","(Cardot) Broth."
"Bazzania","Bazzania nitida","(F.Weber) Grolle","Bazzania nitida","(F.Weber) Grolle"
"Pseudocrossidium","Pseudocrossidium chilense","R.S.Williams","Pseudocrossidium chilense","R.S.Williams"
"Fontinalis","Fontinalis sullivantii","Lindb.","Fontinalis sullivantii","Lindb."
"Philonotis","Philonotis papillarioides","(Müll.Hal.) Paris","Philonotis papillarioides","(Müll.Hal.) Paris"
"Brachythecium","Brachythecium duemmeri","Dixon","Brachythecium duemmeri","Dixon"
"Brachythecium","Brachythecium laevipes","Cardot & Thér.","Brachythecium laevipes","Cardot & Thér."
"Forsstroemia","Forsstroemia trichomitria","(Hedw.) Lindb.","Leptodon trichomitrius","(Hedw.) D.Mohr"
"Sauteria","Sauteria alpina","(Nees) Nees","Sauteria alpina","(Nees) Nees"
"Isopterygium","Isopterygium combae","Besch.","Isopterygium combae","Besch."
"Dendroceros","Dendroceros borbonicus","Steph.","Dendroceros borbonicus","Steph."
"Fissidens","Fissidens horizonticarpus","Müll.Hal.","Fissidens horizonticarpus","Müll.Hal."
"Grimmia","Grimmia mollis","Bruch & Schimp.","Grimmia mollis","Bruch & Schimp."
"Pogonatum","Pogonatum nudiusculum","Mitt.","Pogonatum nudiusculum","Mitt."
