"acgenus","actaxon","acauth","taxon","auth"
"Cladonia","Cladonia macroceras","(Delise) Hav.","Cladonia macroceras","(Delise) Hav."
"Bryobilimbia","Bryobilimbia diapensiae","(Th.Fr.) Fryday, Printzen & S.Ekman","Bryobilimbia diapensiae","(Th.Fr.) Fryday, Printzen & S.Ekman"
"Pycnothelia","Pycnothelia papillaria","Dufour","Cladonia papillaria","Hoffm."
"Xanthoparmelia","Xanthoparmelia standaertii","(Gyelnik) Hale","Xanthoparmelia standaertii","(Gyelnik) Hale"
"Lecanora","Lecanora protervula","Stirt.","Lecanora caesiorubella ssp. prolifera","(Fink) R.C.Harris"
"Stereocaulon","Stereocaulon incrustatum","Flörke","Stereocaulon incrustatum","Flörke"
"Ramalina","Ramalina peranceps","Nyl.","Ramalina peranceps","Nyl."
"Cladonia","Cladonia sarmentosa","(Hook.f. & Taylor) C.W.Dodge","Cladonia sarmentosa","(Hook.f. & Taylor) C.W.Dodge"
"Melanohalea","Melanohalea trabeculata","(Ahti) O.Blanco, A.Crespo, Divakar, Essl., D.Hawksw. & Lumbsch","Melanohalea trabeculata","(Ahti) O.Blanco, A.Crespo, Divakar, Essl., D.Hawksw. & Lumbsch"
"Lepraria","Lepraria normandinoides","Lendemer & R.C.Harris","Lepraria normandinoides","Lendemer & R.C.Harris"
"Lecanora","Lecanora rubina","(Hoffm.) Ach.","Lecanora rubina","(Hoffm.) Ach."
"Lecidella","Lecidella scabra","(Taylor) Hertel & Leuckert","Lecidea scabra","Taylor"
"Spilonema","Spilonema paradoxum","Bornet","Spilonema paradoxum","Bornet"
"Lathagrium","Lathagrium undulatum","(Laurer ex Flot.) Poetsch","Collema undulatum var. granulosum","Degel."
"Thelotrema","Thelotrema subadjectum","Mangold","Thelotrema subadjectum","Mangold"
"Hypotrachyna","Hypotrachyna appalachensis","Lendemer & J.L.Allen","Hypotrachyna appalachensis","Lendemer & J.L.Allen"
"Alectoria","Alectoria sarmentosa","(Ach.) Ach.","Alectoria vexillifera","(Nyl.) Stizenb."
"Lecidea","Lecidea flavidolivens","(Tuck.) Fink","Lecidea flavidolivens","(Tuck.) Fink"
"Phaeographis","Phaeographis tristis","","Phaeographis tristis",""
"Micarea","Micarea cinerea","(Schaer.) Hedl.","Lecidea carneoalbens","Nyl."
"Acarospora","Acarospora citrina","(Taylor) Zahlbr.","Acarospora citrina","(Taylor) Zahlbr."
"Fuscidea","Fuscidea aleutica","(Degel.) Fryday","Lecidea aleutica","Degel."
"Toninia","Toninia populorum","(A.Massal.) Kistenich, Timdal, Bendiksby & S.Ekman","Bacidia acclinis","Zahlbr."
"Collema","Collema subnigrescens","Degel.","Collema subnigrescens","Degel."
"Umbilicaria","Umbilicaria phaea var. coccinea","Llano","Umbilicaria phaea var. coccinea","Llano"
"Cladonia","Cladonia subsubulata","Nyl.","Cladonia subsubulata","Nyl."
"Myriotrema","Myriotrema clandestinum","(Fée) Hale","Myriotrema clandestinum","(Fée) Hale"
"Usnea","Usnea florida var. florida","","Usnea florida var. florida",""
"Phyllopsora","Phyllopsora santensis","(Tuck.) Swinscow & Krog","Phyllopsora corallina var. santensis","(Tuck.) Brako"
"Lecidea","Lecidea lactea","Flörke ex Schaer.","Lecidea cyanea","(Ach.) Röhl."
"Lecidea","Lecidea tessellata var. tessellata","","Lecidea tessellata var. tessellata",""
"Pertusaria","Pertusaria glaucomela","(Tuck.) Nyl.","Lecanora glaucomela","Tuck."
"Enchylium","Enchylium coccophorum","(Tuck.) Otálora, P.M.Jørg. & Wedin","Collema dubium","de Lesd."
"Parmotrema","Parmotrema endosulphureum","(Hillm.) Hale","Parmelia endosulphurea","(Hillm.) Hale"
"Catillaria","Catillaria patteeana","D.P.Waters & Lendemer","Catillaria patteeana","D.P.Waters & Lendemer"
"Acarospora","Acarospora particularis","H.Magn.","Acarospora particularis","H.Magn."
"Lecanora","Lecanora handelii","J.Steiner","Lecanora handelii","J.Steiner"
"Buellia","Buellia neckerensis","H.Magn.","Buellia neckerensis","H.Magn."
"Ramalina","Ramalina thrausta","(Ach.) Nyl.","Alectoria thrausta","Ach."
"Sporastatia","Sporastatia polyspora","(Nyl.) Grummann","Sporastatia cinerea","(Schaer.) Körb."
"Brigantiaea","Brigantiaea tricolor","(Mont.) Trevis.","Brigantiaea tricolor","(Mont.) Trevis."
"Xanthoparmelia","Xanthoparmelia tasmanica","(Hook.f. & Taylor) Hale","Parmelia tasmanica","Hook.f. & Taylor"
"Pseudocyphellaria","Pseudocyphellaria carpoloma","(Delise) Vain.","Pseudocyphellaria carpoloma","(Delise) Vain."
"Leptotrema","Leptotrema polycarpum","Müll.Arg.","Leptotrema polycarpum","Müll.Arg."
"Phlyctis","Phlyctis willeyi","Tuck.","Phlyctis willeyi","Tuck."
"Pyxine","Pyxine coccifera","(Fée) Nyl.","Pyxine coccifera","(Fée) Nyl."
"Lecidea","Lecidea symphycarpea","Lynge","Lecidea symphycarpea","Lynge"
"Variospora","Variospora aurantia","(Pers.) Arup, Frödén & Søchting","Caloplaca callopisma","(Ach.) Th.Fr."
"Fellhanera","Fellhanera aurantiaca","(Vezda) Vezda","Fellhanera aurantiaca","(Vezda) Vezda"
"Stereocaulon","Stereocaulon meyeri","B.Stein","Stereocaulon meyeri","B.Stein"
"Tricharia","Tricharia sublancicarpa","Herrera-Camp. & Lücking","Tricharia sublancicarpa","Herrera-Camp. & Lücking"
"Gyalectidium","Gyalectidium maracae","Lücking","Gyalectidium maracae","Lücking"
"Anzia","Anzia hypoleucoides","Müll.Arg.","Anzia hypoleucoides","Müll.Arg."
"Parmotrema","Parmotrema tinctorum","(Despr. ex Nyl.) Hale","Parmelia tinctorum","Despr."
"Usnea","Usnea goniodes","(Stirton) Swinscow & Krog","Usnea goniodes","(Stirton) Swinscow & Krog"
"Allographa","Allographa lumbricina","(Vain.) Lücking & Kalb","Allographa lumbricina","(Vain.) Lücking & Kalb"
"Coenogonium","Coenogonium curvulum","Zahlbr.","Coenogonium curvulum","Zahlbr."
"Chapsa","Chapsa dissuta","(Hale) Mangold","Chapsa dissuta","(Hale) Mangold"
"Punctelia","Punctelia colombiana","Sérus.","Punctelia colombiana","Sérus."
"Aspicilia","Aspicilia papilliformis","McCune & J.Di Meglio","Aspicilia papilliformis","McCune & J.Di Meglio"
"Lecanora","Lecanora rimicola","H.Magn.","Lecanora rimicola","H.Magn."
"Variospora","Variospora velana","(A.Massal.) Arup, Søchting & Frödén","Variospora velana","(A.Massal.) Arup, Søchting & Frödén"
"Bacidina","Bacidina adastra","(Sparrius & Aptroot) M.Hauck & V.Wirth","Bacidina adastra","(Sparrius & Aptroot) M.Hauck & V.Wirth"
"Porpidia","Porpidia flavicunda","(Ach.) Gowan","Porpidia flavocaerulescens","(Hornem.) Hertel & A.J.Schwab"
"Lecanora","Lecanora minutella","Nyl.","Lecanora minutella","Nyl."
"Ochrolechia","Ochrolechia subplicans ssp. hultenii","(Erichsen) Brodo","Ochrolechia subplicans ssp. hultenii","(Erichsen) Brodo"
"Pertusaria","Pertusaria papillata","(Ach.) Tuck.","Pertusaria papillata","(Ach.) Tuck."
"Biatora","Biatora appalachensis","Printzen & Tønsberg","Biatora appalachensis","Printzen & Tønsberg"
"Caloplaca","Caloplaca pyracea","(Ach.) Th.Fr.","Caloplaca pyracea","(Ach.) Th.Fr."
"Physconia","Physconia muscigena","(Ach.) Poelt","Physcia muscigena","(Ach.) Nyl."
"Physcia","Physcia stellaris","(L.) Nyl.","Physcia stellaris","(L.) Nyl."
"Usnea","Usnea cirrosa","Motyka","Usnea cirrosa","Motyka"
"Buellia","Buellia subcallispora","H.Magn.","Buellia subcallispora","H.Magn."
"Aspicilia","Aspicilia laxula","(H.Magn.) Brodo","Aspicilia laxula","(H.Magn.) Brodo"
"Lepraria","Lepraria incana","(L.) Ach.","Lepraria incana","(L.) Ach."
"Pertusaria","Pertusaria globularis","(Ach.) Tuck.","Pertusaria globularis","(Ach.) Tuck."
"Usnea","Usnea occidentalis","Motyka","Usnea occidentalis","Motyka"
"Nephromopsis","Nephromopsis subalpina","(Imshaug) Divakar, A.Crespo & Lumbsch","Cetraria subalpina","Imshaug"
"Ramalina","Ramalina pollinaria","(Westr.) Ach.","Ramalina pollinaria","(Westr.) Ach."
"Ochrolechia","Ochrolechia mexicana","Vainio","Ochrolechia mexicana","Vainio"
"Ramonia","Ramonia melathelia","(Nyl.) Ertz","Thelopsis melathelia","Nyl."
"Phaeorrhiza","Phaeorrhiza nimbosa","(Fr.) H.Mayrhofer & Poelt","Phaeorrhiza nimbosa","(Fr.) H.Mayrhofer & Poelt"
"Lecanora","Lecanora jamesii","J.R.Laundon","Lecanora jamesii","J.R.Laundon"
"Porina","Porina farinosa","C.Knight","Porina farinosa","C.Knight"
"Caloplaca","Caloplaca ahtii","Søchting","Caloplaca ahtii","Søchting"
"Catinaria","Catinaria atropurpurea","(Schaer.) Vĕzda & Poelt","Catillaria atropurpurea","(Schaer.) Th.Fr."
"Hymenelia","Hymenelia melanocarpa","(Kremp.) Arnold","Ionaspis melanocarpa","(Kremp.) Arnold"
"Ramalina","Ramalina denticulata","(Eschw.) Nyl., 1863","Ramalina denticulata","(Eschw.) Nyl., 1863"
"Phaeophyscia","Phaeophyscia cernohorskyi","(Nádv.) Essl.","Phaeophyscia cernohorskyi","(Nádv.) Essl."
"Nodobryoria","Nodobryoria subdivergens","(E.Dahl) Common & Brodo","Nodobryoria subdivergens","(E.Dahl) Common & Brodo"
"Stereocaulon","Stereocaulon cumulatum","(Sommerf.) Timdal","Stereocaulon cumulatum","(Sommerf.) Timdal"
"Usnea","Usnea lutea","Motyka","Usnea lutea","Motyka"
"Sarcogyne","Sarcogyne lapponica","(Ach. ex Schaer.) K.Knudsen & Kocourk.","Sarcogyne lapponica","(Ach. ex Schaer.) K.Knudsen & Kocourk."
"Tetramelas","Tetramelas papillatus","(Sommerf.) Kalb","Buellia papillata","(Sommerf.) Tuck."
"Enchylium","Enchylium tenax","(Sw.) Gray","Collema tenax var. corallinum","(A.Massal.) Degel."
"Blastenia","Blastenia ferruginea","(Huds.) A.Massal.","Caloplaca ferruginea","(Huds.) Th.Fr."
"Parmotrema","Parmotrema mirandum","(Hale) Hale","Parmotrema mirandum","(Hale) Hale"
"Rhizoplaca","Rhizoplaca melanophthalma","(DC.) Leuckert & Poelt","Rhizoplaca melanophthalma","(DC.) Leuckert & Poelt"
"Strangospora","Strangospora pinicola","(A.Massal.) Körb.","Strangospora pinicola","(A.Massal.) Körb."
"Heterodermia","Heterodermia comosa","(Eschw.) Follmann & Redón","Heterodermia comosa","(Eschw.) Follmann & Redón"
"Pertusaria","Pertusaria wulfenioides","B.de Lesd.","Pertusaria granulata","(Ach.) Müll.Arg."
"Cladonia","Cladonia confusa","R.Sant.","Cladonia confusa","R.Sant."
"Lepra","Lepra ophthalmiza","(Nyl.) Hafellner","Lepra ophthalmiza","(Nyl.) Hafellner"
"Graphis","Graphis intricata","Fée","Graphis intricata","Fée"
"Monerolechia","Monerolechia californica","(H.Magn.) Elix","Dimelaena californica","(H.Magn.) Sheard"
"Pertusaria","Pertusaria superiana","Lendemer & E.Tripp","Pertusaria superiana","Lendemer & E.Tripp"
"Micarea","Micarea elachista","(Körb.) Coppins & R.Sant.","Micarea elachista","(Körb.) Coppins & R.Sant."
"Leptogium","Leptogium juressianum","Tav.","Leptogium juressianum","Tav."
"Phacopsis","Phacopsis thallicola","(A.Massal.) Triebel & Rambold","Phacopsis thallicola","(A.Massal.) Triebel & Rambold"
"Fissurina","Fissurina rufula","(Mont.) Staiger","Fissurina rufula","(Mont.) Staiger"
"Acarospora","Acarospora stictica","K.Knudsen & Elix","Acarospora stictica","K.Knudsen & Elix"
"Rhizocarpon","Rhizocarpon infernulum var. infernulum","","Rhizocarpon infernulum var. infernulum",""
"Omphalora","Omphalora arizonica","(Tuck. ex Willey) T.H.Nash & Hafellner","Lecanora arizonica","(Tuck. ex Willey) W.A.Weber"
"Stereocaulon","Stereocaulon apocalypticum","Nyl.","Stereocaulon apocalypticum","Nyl."
"Siphula","Siphula dactyliza","Nyl.","Siphula dactyliza","Nyl."
"Bryoria","Bryoria chalybeiformis","(L.) Brodo & D.Hawksw.","Alectoria chalybeiformis","(L.) Röhl."
"Rimelia","Rimelia subisidiosa","(Müll.Arg.) Hale & Fletcher","Parmelia subisidiosa","(Müll.Arg.) Dodge"
"Porpidia","Porpidia contraponenda","(Arnold) Knoph & Hertel","Porpidia diversa","(Lowe) Gowan"
"Bacidia","Bacidia russeola","(Kremp.) Zahlbr.","Bacidia russeola","(Kremp.) Zahlbr."
"Lecania","Lecania dubitans","(Nyl.) A.L.Sm.","Lecania dimera","(Nyl.) Th.Fr."
"Cetraria","Cetraria elenkinii","Krog","Cetraria elenkinii","Krog"
"Niebla","Niebla combeoides","(Nyl.) Rundel & Bowler","Vermilacinia combeoides","(Nyl.) Spjut & Hale"
"Rinodina","Rinodina oleae","Bagl.","Rinodina oleae","Bagl."
"Haematomma","Haematomma africanum","(J.Steiner) C.W.Dodge","Haematomma africanum","(J.Steiner) C.W.Dodge"
"Gyalolechia","Gyalolechia epiphyta","(Lynge) Vondrák","Gyalolechia epiphyta","(Lynge) Vondrák"
"Variospora","Variospora velana","(A.Massal.) Arup, Søchting & Frödén","Caloplaca velana","(A.Massal.) Du Rietz"
"Fissurina","Fissurina cypressi","(Müll.Arg.) Lendemer","Graphina cypressi","Müll.Arg."
"Peltigera","Peltigera didactyla","(With.) J.R.Laundon","Peltigera erumpens","(Taylor) Lange"
"Tapellaria","Tapellaria granulosa","Lücking & Rivas Plata","Tapellaria granulosa","Lücking & Rivas Plata"
"Graphis","Graphis medusula","(Spreng.) Kremp.","Graphis medusula","(Spreng.) Kremp."
"Megalospora","Megalospora sulphurata var. nigricans","(Müll.Arg.) Riddle","Megalospora sulphurata var. nigricans","(Müll.Arg.) Riddle"
"Calicium","Calicium lenticulare","Ach.","Calicium sphaerocephalum","(L.) Ach."
"Pertusaria","Pertusaria rhexostoma","Nyl.","Pertusaria finkii","Zahlbr."
"Acarospora","Acarospora americana","H.Magn.","Acarospora cinereoalba","(Fink) H.Magn."
"Catillaria","Catillaria nigroclavata","(Nyl.) J.Steiner","Catillaria nigroclavata","(Nyl.) J.Steiner"
"Nephromopsis","Nephromopsis weberi","(Essl.) Divakar, A.Crespo & Lumbsch","Cetraria weberi","Essl."
"Polyblastidium","Polyblastidium corallophorum","(Taylor) Kalb","Anaptychia corallophora","(Taylor) Lynge"
"Ocellularia","Ocellularia obturata","(Ach.) Spreng.","Ocellularia obturata","(Ach.) Spreng."
"Ocellularia","Ocellularia erodens","(R.C.Harris) Kraichak, Lücking & Lumbsch","Myriotrema erodens","R.C.Harris"
"Phyllopsora","Phyllopsora isidiotyla","(Vain.) Riddle","Phyllopsora isidiotyla","(Vain.) Riddle"
"Bacidia","Bacidia stipata","I.M.Lamb, 1954","Bacidia stipata","I.M.Lamb, 1954"
"Caloplaca","Caloplaca vicaria","H.Magn.","Caloplaca vicaria","H.Magn."
"Solenopsora","Solenopsora crenata","(Herre) Zahlbr.","Solenopsora crenata","(Herre) Zahlbr."
"Pseudocyphellaria","Pseudocyphellaria dissimilis","(Nyl.) D.J.Galloway & P.James","Pseudocyphellaria dissimilis","(Nyl.) D.J.Galloway & P.James"
"Miriquidica","Miriquidica intrudens","(H.Magn.) Hertel & Rambold","Lecanora intrudens","H.Magn."
"Polysporina","Polysporina arenacea","(H.Magn.) K.Knudsen & Kocourk.","Polysporina arenacea","(H.Magn.) K.Knudsen & Kocourk."
"Hypotrachyna","Hypotrachyna pluriformis","(Nyl.) Hale, 1975","Hypotrachyna pluriformis","(Nyl.) Hale, 1975"
"Myriotrema","Myriotrema microporum","(Mont.) Hale","Myriotrema microporum","(Mont.) Hale"
"Pseudoparmelia","Pseudoparmelia cyphellata","Lynge","Pseudoparmelia cyphellata","Lynge"
"Thelenella","Thelenella muscorum","(Th.Fr.) Vain.","Microglaena muscorum","Th.Fr."
"Rinodina","Rinodina archaea","(Ach.) Arnold, 1881","Rinodina lecideoides","(Nyl.) Kernst."
"Bachmanniomyces","Bachmanniomyces punctum","(Räsänen) A.Nordin et al.","Bachmanniomyces punctum","(Räsänen) A.Nordin et al."
"Melanelixia","Melanelixia albertana","(Ahti) O.Blanco, A.Crespo, Divakar, Essl., D.Hawksw. & Lumbsch","Parmelia albertana","Ahti"
"Hypotrachyna","Hypotrachyna prolongata","(Kurok.) Hale","Parmelia prolongata","Kurok."
"Thelenella","Thelenella sychnogonoides","(Zahlbr.) R.C.Harris","Thelenella harrisii","H.Mayrhofer"
"Corticifraga","Corticifraga fuckelii","(Rehm) D.Hawksw. & R.Sant.","Phragmonaevia fuckelii","Rehm"
"Protoparmeliopsis","Protoparmeliopsis kofae","(B.D.Ryan & T.H.Nash) S.Y.Kondr.","Protoparmeliopsis kofae","(B.D.Ryan & T.H.Nash) S.Y.Kondr."
"Eiglera","Eiglera homalomorpha","(Nyl.) Clauzade & Cl.Roux","Eiglera homalomorpha","(Nyl.) Clauzade & Cl.Roux"
"Acarospora","Acarospora schleicheri","(Ach.) A.Massal.","Acarospora ocellata","H.Magn."
"Acarospora","Acarospora umbilicata","Bagl.","Acarospora umbilicata","Bagl."
"Physcia","Physcia dubia","(Hoffm.) Lettau","Physcia dubia","(Hoffm.) Lynge"
"Pertusaria","Pertusaria flavicans","Lamy","Pertusaria flavicans","Lamy"
"Flavoparmelia","Flavoparmelia amplexa","(Stirton) Hale","Flavoparmelia amplexa","(Stirton) Hale"
"Halecania","Halecania pannarica","M.Brand & van den Boom","Halecania pannarica","M.Brand & van den Boom"
"Umbilicaria","Umbilicaria tylorrhiza","Nylander, 1866","Umbilicaria tylorrhiza","Nylander, 1866"
"Usnea","Usnea scabrida","Taylor","Usnea scabrida","Taylor"
"Lecanora","Lecanora caesiorubella","Ach.","Lecanora caesiorubella ssp. glaucomodes","(Nyl.) Imshaug & Brodo"
"Letrouitia","Letrouitia domingensis","(Pers.) Hafellner & Bellem.","Letrouitia domingensis","(Pers.) Hafellner & Bellem."
"Xanthoparmelia","Xanthoparmelia mexicana","(Gyeln.) Hale","Xanthoparmelia mexicana","(Gyeln.) Hale"
"Porpidia","Porpidia thomsonii","Gowan","Porpidia thomsonii","Gowan"
"Vahliella","Vahliella saubinetii","(Mont.) P.M.Jørg.","Vahliella saubinetii","(Mont.) P.M.Jørg."
"Ochrolechia","Ochrolechia subisidiata","Brodo","Ochrolechia subisidiata","Brodo"
"Sticta","Sticta fragilinata","T.McDonald","Sticta fragilinata","T.McDonald"
"Parmotrema","Parmotrema subtinctorium","(Zahlbr.) Hale","Parmotrema subtinctorium","(Zahlbr.) Hale"
"Lecidea","Lecidea fuscoatra","(L.) Ach.","Lecidea fuscoatra","(L.) Ach."
"Pyxine","Pyxine petricola","Nyl.","Pyxine petricola","Nyl."
"Stereocaulon","Stereocaulon tomentosum","Fr.","Stereocaulon tomentosum","Fr."
"Scytinium","Scytinium dactylinum","(Tuck. ex Nyl.) Otálora, P.M.Jørg. & Wedin","Leptogium dactylinum","Tuck. ex Nyl."
"Parmotrema","Parmotrema dilatatum","(Vain.) Hale","Parmelia dilatata","Vain."
"Letharia","Letharia columbiana","(Nutt.) J.W.Thomson","Letharia columbiana","(Nutt.) J.W.Thomson"
"Rinodina","Rinodina milliaria","Tuck.","Rinodina milliaria","Tuck."
"Arthrorhaphis","Arthrorhaphis alpina","(Schaer.) R.Sant.","Arthrorhaphis alpina","(Schaer.) R.Sant."
"Xanthoparmelia","Xanthoparmelia lineola","(E.C.Berry) Hale","Parmelia lineola","E.C.Berry"
"Lepraria","Lepraria squamatica","Elix","Lepraria squamatica","Elix"
"Acanthothecis","Acanthothecis peplophora","(M.Wirth & Hale) E.A.Tripp & Lendemer","Graphina peplophora","M.Wirth & Hale"
"Lecidea","Lecidea lapicida","(Ach.) Ach.","Lecidea lapicida","(Ach.) Ach."
"Cetrariella","Cetrariella delisei","(Bory ex Schaer.) Kärnefelt & A.Thell","Cetrariella delisei","(Bory ex Schaer.) Kärnefelt & A.Thell"
"Usnea","Usnea californica","Herre","Usnea californica","Herre"
"Pyxine","Pyxine subcinerea","Stirt.","Pyxine subcinerea","Stirt."
"Caloplaca","Caloplaca sideritis","(Tuck.) Zahlb.","Caloplaca sideritis","(Tuck.) Zahlb."
"Tuckermannopsis","Tuckermannopsis ciliaris","(Ach.) Gyeln.","Cetraria ciliaris","Ach."
"Lecanora","Lecanora gangaleoides","Nyl.","Lecanora gangaleoides","Nyl."
"Cladonia","Cladonia symphycarpa","(Ehrh. ex Schrad.) Fr.","Cladonia dahliana","H.Krist."
"Cladonia","Cladonia portentosa","(Dufour) Coem.","Cladonia portentosa","(Dufour) Coem."
"Ramboldia","Ramboldia elabens","(Fr.) Kantvilas & Elix","Ramboldia elabens","(Fr.) Kantvilas & Elix"
"Rimularia","Rimularia badioatra","(Kremp.) Hertel & Rambold","Rimularia badioatra","(Kremp.) Hertel & Rambold"
"Hypotrachyna","Hypotrachyna pseudosinuosa","(Asah.) Hale","Hypotrachyna pseudosinuosa","(Asah.) Hale"
"Lecanora","Lecanora frustulosa","(Dicks.) Ach.","Lecanora frustulosa","(Dicks.) Ach."
"Acarospora","Acarospora badiofusca","(Nyl.) Th.Fr.","Acarospora badiofusca","(Nyl.) Th.Fr."
"Lecanora","Lecanora subimmergens","Vain.","Lecanora subimmergens","Vain."
"Gyalideopsis","Gyalideopsis piceicola","(Nyl.) Vĕzda & Poelt","Gyalideopsis piceicola","(Nyl.) Vĕzda & Poelt"
"Acarospora","Acarospora janae","K.Knudsen","Acarospora janae","K.Knudsen"
"Parmotrema","Parmotrema pseudoreticulatum","(Tav.) Hale","Parmotrema pseudoreticulatum","(Tav.) Hale"
"Ramalina","Ramalina subanceps","","Ramalina subanceps",""
"Bryoria","Bryoria capillaris","(Ach.) Brodo & D.Hawksw.","Alectoria capillaris","(Ach.) Cromb."
"Tetramelas","Tetramelas insignis","(Körb.) Kalb","Buellia insignis","(Hepp) Th.Fr."
"Usnea","Usnea dasopoga","(Ach.) Nyl.","Usnea sublaxa","Vain."
"Fuscopannaria","Fuscopannaria maritima","(P.M.Jörg.) P.M.Jörg.","Pannaria maritima","P.M.Jörg."
"Porpidia","Porpidia subsimplex","(H.Magn.) Fryday","Lecidea subsimplex","H.Magn."
"Bacidina","Bacidina egenula","(Nyl.) Vĕzda","Bacidia egenula","(Nyl.) Arnold"
"Cladonia","Cladonia pulverulenta","(L.Scriba) Ahti","Cladonia pulverulenta","(L.Scriba) Ahti"
"Fissurina","Fissurina illiterata","(R.C.Harris) Lendemer","Graphis illiterata","R.C.Harris"
"Haematomma","Haematomma ochroleucum","(Neck.) J.R.Laundon","Haematomma ochroleucum","(Neck.) J.R.Laundon"
"Parmelinella","Parmelinella amazonica","(Nyl.) A.S.Rodrigues, A.P.Lorenz & Canêz","Parmelinella amazonica","(Nyl.) A.S.Rodrigues, A.P.Lorenz & Canêz"
"Stictis","Stictis elevata","(P.Karst.) P.Karst.","Stictis elevata","(P.Karst.) P.Karst."
"Nephromopsis","Nephromopsis nigricascens","(Nyl.) Divakar, A.Crespo & Lumbsch","Cetraria nigricascens","(Nyl.) Elenkin"
"Buellia","Buellia arnoldii","Servít","Buellia arnoldii","Servít"
"Xanthoparmelia","Xanthoparmelia metaclystoides","(Kurok. & Filson) Elix & J.Johnst.","Xanthoparmelia metaclystoides","(Kurok. & Filson) Elix & J.Johnst."
"Hypotrachyna","Hypotrachyna swinscowii","(Hale) Krog & Swinscow","Parmelia swinscowii","Hale"
"Gyalecta","Gyalecta friesii","Flot. ex Körb.","Gyalecta friesii","Flot. ex Körb."
"Lecanora","Lecanora athroocarpa","Duby","Lecanora athroocarpa","Duby"
"Lambiella","Lambiella furvella","(Nyl. ex Mudd) M.Westb. & Resl","Rimularia furvella","(Nyl. ex Mudd) Hertel & Rambold"
"Lecidea","Lecidea brodoana","Hertel & Leuckert","Lecidea brodoana","Hertel & Leuckert"
"Echinoplaca","Echinoplaca leucotrichoides","(Vain.) R.Sant.","Echinoplaca leucotrichoides","(Vain.) R.Sant."
"Amandinea","Amandinea turgescens","(Tuck.) Marbach","Buellia turgescentoides","Fink"
"Haematomma","Haematomma ochroleucum","(Neck.) J.R.Laundon","Haematomma ochroleucum var. porphyrium","(Pers.) J.R.Laundon"
"Micarea","Micarea turfosa","(A.Massal.) Du Rietz","Micarea turfosa","(A.Massal.) Du Rietz"
"Acarospora","Acarospora moenium","(Vain.) Räsänen","Aspicilia moenium","(Vain.) G.Thor & Timdal"
"Lecidea","Lecidea extenuata","Vain.","Lecidea extenuata","Vain."
"Xanthoparmelia","Xanthoparmelia verrucigera","(Nyl.) Hale","Xanthoparmelia verrucigera","(Nyl.) Hale"
"Stereocaulon","Stereocaulon leprocephalum","Vainio","Stereocaulon leprocephalum","Vainio"
"Pseudocyphellaria","Pseudocyphellaria crocata","(L.) Vain.","Sticta crocata","(L.) Ach."
"Parmotrema","Parmotrema permaculatum","(Hale) Kurok.","Parmelia permaculata","Hale"
"Protoparmeliopsis","Protoparmeliopsis garovaglii","(Körb.) Arup, Zhao Xin & Lumbsch","Lecanora cascadensis","H.Magn."
"Farnoldia","Farnoldia hypocrita","(A.Massal.) Hertel","Farnoldia hypocrita","(A.Massal.) Fröberg"
"Rinodina","Rinodina athallina","H.Magn.","Rinodina athallina","H.Magn."
"Buellia","Buellia arborea","Coppins & Tønsberg","Buellia arborea","Coppins & Tønsberg"
"Xanthoparmelia","Xanthoparmelia monticola","(Dey) Hale","Xanthoparmelia monticola","(Dey) Hale"
"Bilimbia","Bilimbia tetramera","De Not.","Mycobilimbia tetramera","(De Not.) Clauzade, Diederich & Cl.Roux"
"Parmotrema","Parmotrema subrugatum","(Kremp.) Hale","Parmotrema subrugatum","(Kremp.) Hale"
"Ionaspis","Ionaspis schismatopsis","(Nyl.) Hue","Ionaspis schismatopsis","(Nyl.) Hue"
"Physcia","Physcia dilatata","Nyl.","Physcia dilatata","Nyl."
"Protoblastenia","Protoblastenia calva","(Dicks.) Zahlbr.","Protoblastenia rupestris var. calva","(Dicks.) J.Steiner"
"Cladidium","Cladidium bolanderi","(Tuck.) B.D.Ryan","Lecanora bolanderi","Tuck."
"Protoblastenia","Protoblastenia rupestris","(Scop.) J.Steiner","Verrucaria rupestris","F.H.Wigg."
"Japewiella","Japewiella pacifica","Printzen","Japewiella pacifica","Printzen"
"Wetmoreana","Wetmoreana brouardii","(B.de Lesd.) Wilk & Søchting","Wetmoreana brouardii","(B.de Lesd.) Wilk & Søchting"
"Tetramelas","Tetramelas insignis","(Körb.) Kalb","Tetramelas insignis","(Körb.) Kalb"
"Lobaria","Lobaria pseudopulmonaria","Gyelnik","Lobaria pseudopulmonaria","Gyelnik"
"Adelolecia","Adelolecia sonorae","Hertel","Adelolecia sonorae","Hertel"
"Acarospora","Acarospora complanata","H.Magn.","Acarospora complanata","H.Magn."
"Xanthoparmelia","Xanthoparmelia lobarica","(Elix) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch","Xanthoparmelia lobarica","(Elix) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch"
"Rinodina","Rinodina occulta","(Körb.) Sheard","Rinodina occulta","(Körb.) Sheard"
"Acarospora","Acarospora affinis","K.Knudsen","Acarospora affinis","K.Knudsen"
"Diploicia","Diploicia subcanescens","(Werner) Hafellner & Poelt","Diploicia subcanescens","(Werner) Hafellner & Poelt"
"Lecanora","Lecanora intricata","(Ach.) Ach.","Lecanora mutabilis","Sommerf."
"Lecanora","Lecanora concilians","Nyl.","Lecanora concilians","Nyl."
