"ELEMENT_GLOBAL_ID","REFERENCE_ID"
685855,178699
685855,181427
685855,182970
685855,194609
685855,199046
685855,645765
689549,191558
689549,645700
689549,756930
683246,176838
685462,182795
685462,187091
685462,199963
685462,1006899
683084,191041
689425,190173
683167,848333
688965,190544
689917,181492
686187,182795
686187,196928
689138,181492
689138,188126
689138,195098
686849,752574
683568,199046
685601,810389
687210,182799
687210,183096
687210,190544
687210,199963
687210,200563
687210,1006899
683569,374772
683569,820418
687965,182826
687965,190544
687965,943946
683341,619562
685126,1035224
689498,181492
687280,182970
689857,182647
689857,196203
688600,643102
685473,667690
685926,211972
685072,199843
684640,201501
686877,182803
685780,181492
685780,182803
685780,200331
686543,200331
688779,181797
688779,187426
686509,192236
689709,195890
689790,181492
684159,175726
684159,510010
684159,620869
685241,182803
685241,215532
686873,464506
689042,624189
688325,181492
684518,201226
687584,190286
688190,184157
688190,342646
684299,186670
685882,199046
687345,181797
685851,181492
687912,642391
687912,672940
687912,820425
684567,194141
685281,190544
685281,656662
687565,620605
688165,178774
683073,182795
683073,190544
684874,650154
685173,182792
685173,199046
685173,659459
685173,943946
686291,183334
684000,181492
684155,178774
684155,182818
684155,199164
684155,374772
685496,182798
689921,192893
689921,194141
685095,190544
685966,181751
688071,181415
688071,183059
688071,193403
688071,193680
688071,199046
685868,181492
684613,190544
684613,196928
685682,722172
685517,181797
689788,188809
689788,194256
685949,642312
683603,191341
683603,235914
683603,342646
685891,181797
685891,642391
685891,667690
686350,176422
686350,197509
686350,201243
689422,200991
683655,181797
683655,181873
683655,187771
684443,182827
684443,182848
684443,197283
684443,645540
684443,645800
684443,830012
685313,810389
687770,181492
687330,188423
688684,199046
688684,620627
687178,199164
687178,620627
687178,792456
686355,176422
686355,182283
686355,201333
687179,190544
687179,192588
687179,659460
687179,667321
687179,722468
687307,196788
688551,199046
688551,667764
683382,182970
683382,183474
683382,192879
689971,642391
689971,667690
683280,181910
683280,192893
683280,194106
684082,182283
684082,722044
688522,182100
688522,190544
683359,198235
683359,957846
686189,176422
687168,192500
683932,187712
683932,668107
689188,199046
689188,620627
689188,943946
687323,182792
686312,176573
686312,182803
686312,183454
686312,185055
686312,196203
684046,182314
685244,182647
684211,182147
684211,184460
683935,196788
683943,181797
683943,184460
688750,196788
688750,342646
688750,659455
687287,342651
687287,659455
687116,181797
683557,183626
688429,181873
688429,183144
689043,184460
688045,179190
689087,181852
689087,505319
685566,177525
685566,181797
683936,179190
683936,184460
683936,192811
683230,181797
683230,185610
683230,722172
683230,1034531
684341,181797
687538,185610
687538,646797
687689,181797
688619,722172
686793,181797
686793,192691
688430,181873
686938,181797
683520,185484
687219,182397
687219,190578
688209,342646
685437,187759
685731,374772
687450,722044
683228,667690
685688,198664
685688,659469
720774,175667
689716,181492
720797,188997
684489,668107
688189,181060
688189,510010
721920,235003
721920,477774
721920,667969
683186,176422
683186,649776
728621,215405
728627,181797
728627,215405
728649,175855
728649,179190
728649,192649
683491,662455
728713,659455
728727,342651
