"actaxon","acauth","taxon","auth","genus","kingdom","phylum","class","order","family","type"
"Marchantia solomonensis","Bischl.","Marchantia solomonensis","Bischl.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia squamosa","Raddi","Marchantia squamosa","Raddi","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia streimannii","Bischl.","Marchantia streimannii","Bischl.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia subandiana","Spruce","Marchantia subandiana","Spruce","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia subgeminata","Steph.","Marchantia subgeminata","Steph.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia subintegra","Mitt.","Marchantia subintegra","Mitt.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia treubii","Schiffn.","Marchantia sciaphila","Schiffn.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia treubii","Schiffn.","Marchantia treubii","Schiffn.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia treubii","Schiffn.","Marchantia treubii var. intercedens","Schiffn.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia vitiensis","Steph.","Marchantia vitiensis","Steph.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantia wallisii","J.B.Jack & Steph.","Marchantia wallisii","J.B.Jack & Steph.","Marchantia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantiolites blairmorensis","(E.W.Berry) J.T.Br. & Robison","Marchantiolites blairmorensis","(E.W.Berry) J.T.Br. & Robison","Marchantiolites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantites coloradensis","Knowlt.","Marchantites coloradensis","Knowlt.","Marchantites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantites cyathodoides","(Townrow) H.M.Anderson","Marchantites cyathodoides","(Townrow) H.M.Anderson","Marchantites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantites huolinhensis","Rui Y.Li & B.N.Sun","Marchantites huolinhensis","Rui Y.Li & B.N.Sun","Marchantites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantites pealei","(Knowlt.) Steere","Marchantia pealei","Knowlt.","Marchantites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantites pealei","(Knowlt.) Steere","Marchantites pealei","(Knowlt.) Steere","Marchantites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantites sesannensis","Brongn.","Marchantites sesannensis","Brongn.","Marchantites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Marchantites sinuatus","Saporta","Marchantites sinuatus","Saporta","Marchantites","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Marchantiaceae","bryophyte"
"Monoclea forsteri","Hook.","Dumortiera dilatata","(Hook.f. & Taylor) Nees","Monoclea","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Monocleaceae","bryophyte"
"Monoclea forsteri","Hook.","Monoclea forsteri","Hook.","Monoclea","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Monocleaceae","bryophyte"
"Monoclea gottschei","Lindb.","Monoclea gottschei","Lindb.","Monoclea","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Monocleaceae","bryophyte"
"Monoclea gottschei","Lindb.","Monoclea gottschei ssp. elongata","Gradst. & Mues","Monoclea","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Monocleaceae","bryophyte"
"Monoclea gottschei ssp. gottschei","","Monoclea gottschei ssp. gottschei","","Monoclea","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Monocleaceae","bryophyte"
"Monosolenium tenerum","Griff.","Monosolenium tenerum","Griff.","Monosolenium","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Monosoleniaceae","bryophyte"
"Oxymitra cristata","Garside","Oxymitra cristata","Garside","Oxymitra","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Oxymitraceae","bryophyte"
"Oxymitra incrassata","(Brot.) Sérgio & Sim-Sim","Oxymitra androgyna","M.Howe","Oxymitra","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Oxymitraceae","bryophyte"
"Oxymitra incrassata","(Brot.) Sérgio & Sim-Sim","Oxymitra incrassata","(Brot.) Sérgio & Sim-Sim","Oxymitra","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Oxymitraceae","bryophyte"
"Oxymitra incrassata","(Brot.) Sérgio & Sim-Sim","Oxymitra paleacea","Bisch.","Oxymitra","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Oxymitraceae","bryophyte"
"Oxymitra incrassata","(Brot.) Sérgio & Sim-Sim","Oxymitra pyramidata","Bisch.","Oxymitra","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Oxymitraceae","bryophyte"
"Riccia abdita","Cargill","Riccia abdita","Cargill","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia abuensis","Bapna","Riccia abuensis","Bapna","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia acutisulca","Steph.","Riccia acutisulca","Steph.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia alatospora","O.H.Volk & Perold","Riccia alatospora","O.H.Volk & Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia albida","Sull.","Riccia albida","Sull.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia albolimbata","S.W.Arnell","Riccia albolimbata","S.W.Arnell","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia albomarginata","Bisch. ex C.Krauss","Riccia albomarginata","Bisch. ex C.Krauss","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia alboporosa","Perold","Riccia alboporosa","Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia albopunctata","Jovet-Ast","Riccia albopunctata","Jovet-Ast","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia albornata","O.H.Volk & Perold","Riccia albornata","O.H.Volk & Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia albovestita","O.H.Volk","Riccia albovestita","O.H.Volk","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia amboinensis","Schiffn.","Riccia amboinensis","Schiffn.","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
"Riccia ampullacea","Perold","Riccia ampullacea","Perold","Riccia","Plantae","Marchantiophyta","Marchantiopsida","Marchantiales","Ricciaceae","bryophyte"
