"actaxon","acauth","taxon","auth","genus","kingdom","phylum","class","order","family","type"
"Lewinskya galiciae","(F.Lara, Garilleti & Mazimpaka) F.Lara, Garilleti & Goffinet","Lewinskya galiciae","(F.Lara, Garilleti & Mazimpaka) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya graphiomitria","(Müll.Hal. ex Beckett) F.Lara, Garilleti & Goffinet","Lewinskya graphiomitria","(Müll.Hal. ex Beckett) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya graphiomitria","(Müll.Hal. ex Beckett) F.Lara, Garilleti & Goffinet","Orthotrichum graphiomitrium","Müll.Hal. ex Beckett","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hawaiica","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya hawaiica","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hawaiica","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Orthotrichum hawaiicum","Müll.Hal.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya holzingeri","(Renauld & Cardot) F.Lara, Garilleti & Goffinet","Lewinskya holzingeri","(Renauld & Cardot) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya holzingeri","(Renauld & Cardot) F.Lara, Garilleti & Goffinet","Orthotrichum holzingeri","Renauld & Cardot","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hookeri","(Wilson ex Mitt.) F.Lara, Garilleti & Goffinet","Lewinskya hookeri","(Wilson ex Mitt.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hookeri","(Wilson ex Mitt.) F.Lara, Garilleti & Goffinet","Orthotrichum hookeri","Wilson ex Mitt.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hookeri var. granulata","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya hookeri var. granulata","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hookeri var. granulata","(Lewinsky) F.Lara, Garilleti & Goffinet","Orthotrichum hookeri var. granulatum","Lewinsky","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hortensis","(Bosw.) F.Lara, Garilleti & Goffinet","Lewinskya hortensis","(Bosw.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hortensis","(Bosw.) F.Lara, Garilleti & Goffinet","Orthotrichum hortense","Bosw.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hortoniae","(Vitt) F.Lara, Garilleti & Goffinet","Lewinskya hortoniae","(Vitt) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya hortoniae","(Vitt) F.Lara, Garilleti & Goffinet","Orthotrichum hortoniae","Vitt","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya iberica","(F.Lara & Mazimpaka) F.Lara, Garilleti & Goffinet","Lewinskya iberica","(F.Lara & Mazimpaka) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya iberica","(F.Lara & Mazimpaka) F.Lara, Garilleti & Goffinet","Orthotrichum ibericum","F.Lara & Mazimpaka","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya incana","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya incana","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya incana","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Orthotrichum incanum","Müll.Hal.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya incurvomarginata","(Lewinsky & van Rooy) F.Lara, Garilleti & Goffinet","Lewinskya incurvomarginata","(Lewinsky & van Rooy) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya incurvomarginata","(Lewinsky & van Rooy) F.Lara, Garilleti & Goffinet","Orthotrichum incurvomarginatum","Lewinsky & van Rooy","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya iwatsukii","(Ignatov) F.Lara, Garilleti & Goffinet","Lewinskya iwatsukii","(Ignatov) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya iwatsukii","(Ignatov) F.Lara, Garilleti & Goffinet","Orthotrichum laevigatum var. japonicum","(Z.Iwats.) Lewinsky","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya johnstonii","(E.B.Bartram) F.Lara, Garilleti & Goffinet","Lewinskya johnstonii","(E.B.Bartram) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya johnstonii","(E.B.Bartram) F.Lara, Garilleti & Goffinet","Orthotrichum johnstonii","E.B.Bartram","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya keeverae","(H.A.Crum & L.E.Anderson) F.Lara, Garilleti & Goffinet","Lewinskya keeverae","(H.A.Crum & L.E.Anderson) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya keeverae","(H.A.Crum & L.E.Anderson) F.Lara, Garilleti & Goffinet","Orthotrichum keeverae","H.A.Crum & L.E.Anderson","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya killiasii","(Müll.Hal.) Kiebacher, Köckinger & Jan Kučera","Lewinskya killiasii","(Müll.Hal.) Kiebacher, Köckinger & Jan Kučera","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya killiasii","(Müll.Hal.) Kiebacher, Köckinger & Jan Kučera","Orthotrichum killiasii","Müll.Hal.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya killiasii","(Müll.Hal.) Kiebacher, Köckinger & Jan Kučera","Orthotrichum speciosum var. killiasii","(Müll.Hal.) Venturi","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya killiasii ssp. killiasii","","Lewinskya killiasii ssp. killiasii","","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya killiasii ssp. simonyi","(Schlüsslmayr) Kiebacher, Köckinger & Jan Kučera","Lewinskya killiasii ssp. simonyi","(Schlüsslmayr) Kiebacher, Köckinger & Jan Kučera","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya killiasii ssp. simonyi","(Schlüsslmayr) Kiebacher, Köckinger & Jan Kučera","Orthotrichum simonyi","Schlüsslmayr","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Orthotrichum brigantiacum","Culm.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Orthotrichum laevigatum","J.E.Zetterst.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Orthotrichum lonchothecium","Müll.Hal. & Kindb.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Orthotrichum macounii","Austin","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Orthotrichum macounii var. lonchothecium","(Müll.Hal. & Kindb.) Grout","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Orthotrichum roellii","Venturi","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laevigata","(J.E.Zetterst.) F.Lara, Garilleti & Goffinet","Orthotrichum schlotthaueri","Venturi","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya lamyana","F.Lara, Garilleti, Draper & Mazimpaka","Lewinskya lamyana","F.Lara, Garilleti, Draper & Mazimpaka","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya latimarginata","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya latimarginata","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya latimarginata","(Lewinsky) F.Lara, Garilleti & Goffinet","Orthotrichum latimarginatum","Lewinsky","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya laxifolia","(Wilson ex Mitt.) F.Lara, Garilleti & Goffinet","Lewinskya laxifolia","(Wilson ex Mitt.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya leiolecythis","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya leiolecythis","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya leptocarpa","(Bruch & Schimp. ex Müll.Hal.) Vigalondo, F.Lara & Garilleti","Lewinskya leptocarpa","(Bruch & Schimp. ex Müll.Hal.) Vigalondo, F.Lara & Garilleti","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya leptocarpa","(Bruch & Schimp. ex Müll.Hal.) Vigalondo, F.Lara & Garilleti","Orthotrichum leptocarpum","Bruch & Schimp. ex Müll.Hal.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya ludificans","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya ludificans","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya ludificans","(Lewinsky) F.Lara, Garilleti & Goffinet","Orthotrichum ludificans","Lewinsky","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya mandonii","(Schimp. ex Hampe) F.Lara, Garilleti & Goffinet","Lewinskya mandonii","(Schimp. ex Hampe) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya mandonii","(Schimp. ex Hampe) F.Lara, Garilleti & Goffinet","Orthotrichum mandonii","Schimp. ex Hampe","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya mandonii","(Schimp. ex Hampe) F.Lara, Garilleti & Goffinet","Orthotrichum tacacomense","R.S.Williams","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pacifica","Vigalondo, F.Lara & Garilleti","Lewinskya pacifica","Vigalondo, F.Lara & Garilleti","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pariata","(Mitt.) F.Lara, Garilleti & Goffinet","Lewinskya pariata","(Mitt.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pariata","(Mitt.) F.Lara, Garilleti & Goffinet","Orthotrichum pariatum","Mitt.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya praemorsa","(Venturi) F.Lara, Garilleti & Goffinet","Lewinskya praemorsa","(Venturi) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya praemorsa","(Venturi) F.Lara, Garilleti & Goffinet","Orthotrichum praemorsum","Venturi","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pseudoaffinis","Vigalondo, F.Lara & Garilleti","Lewinskya pseudoaffinis","Vigalondo, F.Lara & Garilleti","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya psychrophila","(Mont.) F.Lara, Garilleti & Goffinet","Lewinskya psychrophila","(Mont.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya psychrophila","(Mont.) F.Lara, Garilleti & Goffinet","Orthotrichum psychrophilum","Mont.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pulchra","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya pulchra","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pycnophylla","(Schimp.) F.Lara, Garilleti & Goffinet","Lewinskya pycnophylla","(Schimp.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pycnophylla","(Schimp.) F.Lara, Garilleti & Goffinet","Orthotrichum lozanoi","Cardot","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pycnophylla","(Schimp.) F.Lara, Garilleti & Goffinet","Orthotrichum pycnophyllum","Schimp.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pycnophylla","(Schimp.) F.Lara, Garilleti & Goffinet","Orthotrichum recurvans","Schimp.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pycnophylla","(Schimp.) F.Lara, Garilleti & Goffinet","Orthotrichum rubescens","Mitt.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pycnophylla var. verrucosa","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya pycnophylla var. verrucosa","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pycnophylla var. verrucosa","(Müll.Hal.) F.Lara, Garilleti & Goffinet","Orthotrichum pycnophyllum var. verrucosum","(Müll.Hal.) Lewinsky","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Dorcadion arcticum","(Schimp.) Lindb.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Dorcadion microblepharis","(Schimp.) Lindb.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum arcticum","Schimp.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum arcticum var. blyttii","(Schimp.) Cardot & Thér.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum arcticum var. microblephare","(Schimp.) Mönk.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum blyttii","Schimp.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum idahense","Cardot & Thér.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum microblephare","Schimp.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum microblepharum","Schimp.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum pylaisii","Brid.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum rhabdophorum","Venturi","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya pylaisii","(Brid.) F.Lara, Garilleti & Goffinet","Orthotrichum sommerfeltii","Schimp.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Dorcadion rupestre","(Schleich. ex Schwägr.) Lindb.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum douglasii","Duby","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum hillebrandii","Müll.Hal.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum lebrunii","Besch.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum nivale","Spruce","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre","Schleich. ex Schwägr.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre ssp. sturmii","(Hoppe & Hornsch.) Boulay","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. franzonianum","(De Not.) Venturi","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. lamelliferum","Culm.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. macfaddeniae","(R.S.Williams) Grout","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. rupestre","","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. rupincola","(Funck) Huebener","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. sehlmeyeri","(Bruch ex Brid.) Huebener","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. sturmii","(Hoppe & Hornsch.) Jur.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum rupincola","Funck","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum sturmii","Hoppe & Hornsch.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris","(Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet","Orthotrichum texanum","Sull.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris var. papillosa","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya rupestris var. papillosa","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya rupestris var. papillosa","(Lewinsky) F.Lara, Garilleti & Goffinet","Orthotrichum rupestre var. papillosum","Lewinsky","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya sainsburyi","(Allison) F.Lara, Garilleti & Goffinet","Lewinskya sainsburyi","(Allison) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya sainsburyi","(Allison) F.Lara, Garilleti & Goffinet","Orthotrichum sainsburyi","Allison","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya schoddei","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya schoddei","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya scissa","Vigalondo, F.Lara & Garilleti","Lewinskya scissa","Vigalondo, F.Lara & Garilleti","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya shawii","(Wilson) F.Lara, Garilleti & Goffinet","Lewinskya shawii","(Wilson) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya sordida","(Sull. & Lesq.) F.Lara, Garilleti & Goffinet","Lewinskya sordida","(Sull. & Lesq.) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya sordida","(Sull. & Lesq.) F.Lara, Garilleti & Goffinet","Orthotrichum affine ssp. sordidum","(Sull. & Lesq.) Grout","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya sordida","(Sull. & Lesq.) F.Lara, Garilleti & Goffinet","Orthotrichum sordidum","Sull. & Lesq.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya spanotricha","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya spanotricha","(Lewinsky) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya spanotricha","(Lewinsky) F.Lara, Garilleti & Goffinet","Orthotrichum spanotrichum","Lewinsky","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya speciosa","(Nees) F.Lara, Garilleti & Goffinet","Lewinskya speciosa","(Nees) F.Lara, Garilleti & Goffinet","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
"Lewinskya speciosa","(Nees) F.Lara, Garilleti & Goffinet","Orthotrichum psilothecium","Müll.Hal. & Kindb.","Lewinskya","Plantae","Bryophyta","Bryopsida","Orthotrichales","Orthotrichaceae","bryophyte"
